# Truth table
# Generated from circuit NextStateLogic
# Exported on Wed May 28 19:02:44 CST 2025

# Hints and Notes on Formatting:
# * You can edit this file then import it back into Logisim!
# * Anything after a '#' is a comment and will be ignored.
# * Blank lines and separator lines (e.g., ~~~~~~) are ignored.
# * Keep column names simple (no spaces, punctuation, etc.)
# * 'Name[N..0]' indicates an N+1 bit variable, whereas
#   'Name' by itself indicates a 1-bit variable.
# * You can use 'x' or '-' to indicate "don't care" for both
#   input and output bits.
# * You can use binary (e.g., '10100011xxxx') notation or
#   or hex (e.g., 'C3x'). Logisim will figure out which is which.

CurrentState[4..0] Instruction[3..0] | NextState[4..0]
      00100              0101        |      -----     
      00100              0110        |      -----     
      00100              0111        |      -----     
      00100              1000        |      -----     
      00100              1001        |      -----     
      00100              1010        |      -----     
      00100              1011        |      -----     
      00100              1100        |      -----     
      00100              1101        |      -----     
      00100              1110        |      -----     
      00100              1111        |      -----     
      00101              0000        |      -----     
      00101              0001        |      -----     
      00101              0010        |      -----     
      00101              0011        |      -----     
      00101              0100        |      -----     
      00101              0101        |      -----     
      00101              0110        |      -----     
      00101              0111        |      -----     
      00101              1000        |      -----     
      00101              1001        |      -----     
      00101              1010        |      -----     
      00101              1011        |      -----     
      00101              1100        |      -----     
      00101              1101        |      -----     
      00101              1110        |      -----     
      00101              1111        |      -----     
      00110              0000        |      -----     
      00110              0001        |      -----     
      00110              0010        |      -----     
      00110              0011        |      -----     
      00110              0100        |      -----     
      00110              0101        |      -----     
      00110              0110        |      -----     
      00110              0111        |      -----     
      00110              1000        |      -----     
      00110              1001        |      -----     
      00110              1010        |      -----     
      00110              1011        |      -----     
      00110              1100        |      -----     
      00110              1101        |      -----     
      00110              1110        |      -----     
      00110              1111        |      -----     
      00111              0000        |      -----     
      00111              0001        |      -----     
      00111              0010        |      -----     
      00111              0011        |      -----     
      00111              0100        |      -----     
      00111              0101        |      -----     
      00111              0110        |      -----     
      00111              0111        |      -----     
      00111              1000        |      -----     
      00111              1001        |      -----     
      00111              1010        |      -----     
      00111              1011        |      -----     
      00111              1100        |      -----     
      00111              1101        |      -----     
      00111              1110        |      -----     
      00111              1111        |      -----     
      01000              0000        |      -----     
      01000              0001        |      -----     
      01000              0010        |      -----     
      01000              0011        |      -----     
      01000              0100        |      -----     
      01000              0101        |      -----     
      01000              0110        |      -----     
      01000              0111        |      -----     
      01000              1000        |      -----     
      01000              1001        |      -----     
      01000              1010        |      -----     
      01000              1011        |      -----     
      01000              1100        |      -----     
      01000              1101        |      -----     
      01000              1110        |      -----     
      01000              1111        |      -----     
      01001              0000        |      -----     
      01001              0001        |      -----     
      01001              0010        |      -----     
      01001              0011        |      -----     
      01001              0100        |      -----     
      01001              0101        |      -----     
      01001              0110        |      -----     
      01001              0111        |      -----     
      01001              1000        |      -----     
      01001              1001        |      -----     
      01001              1010        |      -----     
      01001              1011        |      -----     
      01001              1100        |      -----     
      01001              1101        |      -----     
      01001              1110        |      -----     
      01001              1111        |      -----     
      01010              0000        |      -----     
      01010              0001        |      -----     
      01010              0010        |      -----     
      01010              0011        |      -----     
      01010              0100        |      -----     
      01010              0101        |      -----     
      01010              0110        |      -----     
      01010              0111        |      -----     
      01010              1000        |      -----     
      01010              1001        |      -----     
      01010              1010        |      -----     
      01010              1011        |      -----     
      01010              1100        |      -----     
      01010              1101        |      -----     
      01010              1110        |      -----     
      01010              1111        |      -----     
      01011              0000        |      -----     
      01011              0001        |      -----     
      01011              0010        |      -----     
      01011              0011        |      -----     
      01011              0100        |      -----     
      01011              0101        |      -----     
      01011              0110        |      -----     
      01011              0111        |      -----     
      01011              1000        |      -----     
      01011              1001        |      -----     
      01011              1010        |      -----     
      01011              1011        |      -----     
      01011              1100        |      -----     
      01011              1101        |      -----     
      01011              1110        |      -----     
      01011              1111        |      -----     
      01100              0000        |      -----     
      01100              0001        |      -----     
      01100              0010        |      -----     
      01100              0011        |      -----     
      01100              0100        |      -----     
      01100              0101        |      -----     
      01100              0110        |      -----     
      01100              0111        |      -----     
      01100              1000        |      -----     
      01100              1001        |      -----     
      01100              1010        |      -----     
      01100              1011        |      -----     
      01100              1100        |      -----     
      01100              1101        |      -----     
      01100              1110        |      -----     
      01100              1111        |      -----     
      01101              0000        |      -----     
      01101              0001        |      -----     
      01101              0010        |      -----     
      01101              0011        |      -----     
      01101              0100        |      -----     
      01101              0101        |      -----     
      01101              0110        |      -----     
      01101              0111        |      -----     
      01101              1000        |      -----     
      01101              1001        |      -----     
      01101              1010        |      -----     
      01101              1011        |      -----     
      01101              1100        |      -----     
      01101              1101        |      -----     
      01101              1110        |      -----     
      01101              1111        |      -----     
      01110              0000        |      -----     
      01110              0001        |      -----     
      01110              0010        |      -----     
      01110              0011        |      -----     
      01110              0100        |      -----     
      01110              0101        |      -----     
      01110              0110        |      -----     
      01110              0111        |      -----     
      01110              1000        |      -----     
      01110              1001        |      -----     
      01110              1010        |      -----     
      01110              1011        |      -----     
      01110              1100        |      -----     
      01110              1101        |      -----     
      01110              1110        |      -----     
      01110              1111        |      -----     
      01111              0000        |      -----     
      01111              0001        |      -----     
      01111              0010        |      -----     
      01111              0011        |      -----     
      01111              0100        |      -----     
      01111              0101        |      -----     
      01111              0110        |      -----     
      01111              0111        |      -----     
      01111              1000        |      -----     
      01111              1001        |      -----     
      01111              1010        |      -----     
      01111              1011        |      -----     
      01111              1100        |      -----     
      01111              1101        |      -----     
      01111              1110        |      -----     
      01111              1111        |      -----     
      10000              0000        |      00000     
      10000              0001        |      00000     
      10000              0010        |      00000     
      10000              0011        |      00000     
      10000              0100        |      00000     
      10000              0101        |      00000     
      10000              0110        |      00000     
      10000              0111        |      00000     
      10000              1000        |      00000     
      10000              1001        |      00000     
      10000              1010        |      00000     
      10000              1011        |      00000     
      10000              1100        |      00000     
      10000              1101        |      00000     
      10000              1110        |      00000     
      10000              1111        |      00000     
      10001              0000        |      00000     
      10001              0001        |      00000     
      10001              0010        |      00000     
      10001              0011        |      00000     
      10001              0100        |      00000     
      10001              0101        |      00000     
      10001              0110        |      00000     
      10001              0111        |      00000     
      10001              1000        |      00000     
      10001              1001        |      00000     
      10001              1010        |      00000     
      10001              1011        |      00000     
      10001              1100        |      00000     
      10001              1101        |      00000     
      10001              1110        |      00000     
      10001              1111        |      00000     
      10010              0000        |      00000     
      10010              0001        |      00000     
      10010              0010        |      00000     
      10010              0011        |      00000     
      10010              0100        |      00000     
      10010              0101        |      00000     
      10010              0110        |      00000     
      10010              0111        |      00000     
      10010              1000        |      00000     
      10010              1001        |      00000     
      10010              1010        |      00000     
      10010              1011        |      00000     
      10010              1100        |      00000     
      10010              1101        |      00000     
      10010              1110        |      00000     
      10010              1111        |      00000     
      10011              0000        |      00000     
      10011              0001        |      00000     
      10011              0010        |      00000     
      10011              0011        |      00000     
      10011              0100        |      00000     
      10011              0101        |      00000     
      10011              0110        |      00000     
      10011              0111        |      00000     
      10011              1000        |      00000     
      10011              1001        |      00000     
      10011              1010        |      00000     
      10011              1011        |      00000     
      10011              1100        |      00000     
      10011              1101        |      00000     
      10011              1110        |      00000     
      10011              1111        |      00000     
      10100              0000        |      00000     
      10100              0001        |      00000     
      10100              0010        |      00000     
      10100              0011        |      00000     
      10100              0100        |      00000     
      10100              0101        |      00000     
      10100              0110        |      00000     
      10100              0111        |      00000     
      10100              1000        |      00000     
      10100              1001        |      00000     
      10100              1010        |      00000     
      10100              1011        |      00000     
      10100              1100        |      00000     
      10100              1101        |      00000     
      10100              1110        |      00000     
      10100              1111        |      00000     
      10101              0000        |      00000     
      10101              0001        |      00000     
      10101              0010        |      00000     
      10101              0011        |      00000     
      10101              0100        |      00000     
      10101              0101        |      00000     
      10101              0110        |      00000     
      10101              0111        |      00000     
      10101              1000        |      00000     
      10101              1001        |      00000     
      10101              1010        |      00000     
      10101              1011        |      00000     
      10101              1100        |      00000     
      10101              1101        |      00000     
      10101              1110        |      00000     
      10101              1111        |      00000     
      10110              0000        |      00000     
      10110              0001        |      00000     
      10110              0010        |      00000     
      10110              0011        |      00000     
      10110              0100        |      00000     
      10110              0101        |      00000     
      10110              0110        |      00000     
      10110              0111        |      00000     
      10110              1000        |      00000     
      10110              1001        |      00000     
      10110              1010        |      00000     
      10110              1011        |      00000     
      10110              1100        |      00000     
      10110              1101        |      00000     
      10110              1110        |      00000     
      10110              1111        |      00000     
      10111              0000        |      00000     
      10111              0001        |      00000     
      10111              0010        |      00000     
      10111              0011        |      00000     
      10111              0100        |      00000     
      10111              0101        |      00000     
      10111              0110        |      00000     
      10111              0111        |      00000     
      10111              1000        |      00000     
      10111              1001        |      00000     
      10111              1010        |      00000     
      10111              1011        |      00000     
      10111              1100        |      00000     
      10111              1101        |      00000     
      10111              1110        |      00000     
      10111              1111        |      00000     
      11000              0000        |      11000     
      11000              0001        |      11000     
      11000              0010        |      11000     
      11000              0011        |      11000     
      11000              0100        |      11000     
      11000              0101        |      11000     
      11000              0110        |      11000     
      11000              0111        |      11000     
      11000              1000        |      11000     
      11000              1001        |      11000     
      11000              1010        |      11000     
      11000              1011        |      11000     
      11000              1100        |      11000     
      11000              1101        |      11000     
      11000              1110        |      11000     
      11000              1111        |      11000     
      11001              0000        |      00000     
      11001              0001        |      00000     
      11001              0010        |      00000     
      11001              0011        |      00000     
      11001              0100        |      00000     
      11001              0101        |      00000     
      11001              0110        |      00000     
      11001              0111        |      00000     
      11001              1000        |      00000     
      11001              1001        |      00000     
      11001              1010        |      00000     
      11001              1011        |      00000     
      11001              1100        |      00000     
      11001              1101        |      00000     
      11001              1110        |      00000     
      11001              1111        |      00000     
      11010              0000        |      00000     
      11010              0001        |      00000     
      11010              0010        |      00000     
      11010              0011        |      00000     
      11010              0100        |      00000     
      11010              0101        |      00000     
      11010              0110        |      00000     
      11010              0111        |      00000     
      11010              1000        |      00000     
      11010              1001        |      00000     
      11010              1010        |      00000     
      11010              1011        |      00000     
      11010              1100        |      00000     
      11010              1101        |      00000     
      11010              1110        |      00000     
      11010              1111        |      00000     
      11011              0000        |      00000     
      11011              0001        |      00000     
      11011              0010        |      00000     
      11011              0011        |      00000     
      11011              0100        |      00000     
      11011              0101        |      00000     
      11011              0110        |      00000     
      11011              0111        |      00000     
      11011              1000        |      00000     
      11011              1001        |      00000     
      11011              1010        |      00000     
      11011              1011        |      00000     
      11011              1100        |      00000     
      11011              1101        |      00000     
      11011              1110        |      00000     
      11011              1111        |      00000     
      11100              0000        |      00000     
      11100              0001        |      00000     
      11100              0010        |      00000     
      11100              0011        |      00000     
      11100              0100        |      00000     
      11100              0101        |      00000     
      11100              0110        |      00000     
      11100              0111        |      00000     
      11100              1000        |      00000     
      11100              1001        |      00000     
      11100              1010        |      00000     
      11100              1011        |      00000     
      11100              1100        |      00000     
      11100              1101        |      00000     
      11100              1110        |      00000     
      11100              1111        |      00000     
      11101              0000        |      00000     
      11101              0001        |      00000     
      11101              0010        |      00000     
      11101              0011        |      00000     
      11101              0100        |      00000     
      11101              0101        |      00000     
      11101              0110        |      00000     
      11101              0111        |      00000     
      11101              1000        |      00000     
      11101              1001        |      00000     
      11101              1010        |      00000     
      11101              1011        |      00000     
      11101              1100        |      00000     
      11101              1101        |      00000     
      11101              1110        |      00000     
      11101              1111        |      00000     
      11110              0000        |      00000     
      11110              0001        |      00000     
      11110              0010        |      00000     
      11110              0011        |      00000     
      11110              0100        |      00000     
      11110              0101        |      00000     
      11110              0110        |      00000     
      11110              0111        |      00000     
      11110              1000        |      00000     
      11110              1001        |      00000     
      11110              1010        |      00000     
      11110              1011        |      00000     
      11110              1100        |      00000     
      11110              1101        |      00000     
      11110              1110        |      00000     
      11110              1111        |      00000     
      11111              0000        |      00000     
      11111              0001        |      00000     
      11111              0010        |      00000     
      11111              0011        |      00000     
      11111              0100        |      00000     
      11111              0101        |      00000     
      11111              0110        |      00000     
      11111              0111        |      00000     
      11111              1000        |      00000     
      11111              1001        |      00000     
      11111              1010        |      00000     
      11111              1011        |      00000     
      11111              1100        |      00000     
      11111              1101        |      00000     
      11111              1110        |      00000     
      11111              1111        |      00000     
